,Year,Month,Extent,Area
0,1978,11,11.65,9.04
1,1978,12,13.67,10.9
2,1979,1,15.41,12.41
3,1979,2,16.18,13.18
4,1979,3,16.34,13.21
5,1979,4,15.45,12.53
6,1979,5,13.86,11.11
7,1979,6,12.53,9.34
8,1979,7,10.31,6.69
9,1979,8,8.04,5.06
10,1979,9,7.05,4.58
11,1979,10,8.75,6.19
12,1979,11,10.94,8.37
13,1979,12,13.34,10.63
14,1980,1,14.86,11.94
15,1980,2,15.96,12.9
16,1980,3,16.04,12.99
17,1980,4,15.43,12.52
18,1980,5,13.79,10.96
19,1980,6,12.2,9
20,1980,7,10.1,6.53
21,1980,8,7.98,4.94
22,1980,9,7.67,4.87
23,1980,10,9.18,6.5
24,1980,11,11.38,8.73
25,1980,12,13.59,10.78
26,1981,1,14.91,11.91
27,1981,2,15.6,12.53
28,1981,3,15.63,12.71
29,1981,4,15.01,12.24
30,1981,5,13.8,10.99
31,1981,6,12.43,9.03
32,1981,7,10.27,6.31
33,1981,8,7.84,4.48
34,1981,9,7.14,4.44
35,1981,10,8.86,6.27
36,1981,11,10.93,8.31
37,1981,12,13.34,10.54
38,1982,1,15.18,12.19
39,1982,2,15.97,12.87
40,1982,3,16.04,13.07
41,1982,4,15.47,12.63
42,1982,5,13.97,11.17
43,1982,6,12.48,9.46
44,1982,7,10.37,6.87
45,1982,8,8.14,5
46,1982,9,7.3,4.43
47,1982,10,9.42,6.67
48,1982,11,11.63,9.06
49,1982,12,13.64,10.88
50,1983,1,14.94,12.01
51,1983,2,16.01,12.94
52,1983,3,16.09,12.93
53,1983,4,15.17,12.21
54,1983,5,13.49,10.87
55,1983,6,12.3,9.27
56,1983,7,10.57,6.86
57,1983,8,8.19,4.97
58,1983,9,7.39,4.7
59,1983,10,9.33,6.79
60,1983,11,11.46,8.99
61,1983,12,13.3,10.63
62,1984,1,14.47,11.68
63,1984,2,15.3,12.26
64,1984,3,15.58,12.55
65,1984,4,15.01,12.18
66,1984,5,13.58,10.88
67,1984,6,12.15,9.09
68,1984,7,9.98,6.3
69,1984,8,7.77,4.68
70,1984,9,6.81,4.11
71,1984,10,8.56,5.91
72,1984,11,10.84,8.24
73,1984,12,12.99,10.27
74,1985,1,14.72,11.69
75,1985,2,15.47,12.48
76,1985,3,15.89,12.75
77,1985,4,15.36,12.54
78,1985,5,14.07,11.25
79,1985,6,12.22,8.96
80,1985,7,9.74,5.99
81,1985,8,7.4,4.6
82,1985,9,6.7,4.23
83,1985,10,8.55,6.12
84,1985,11,11.02,8.42
85,1985,12,13.05,10.24
86,1986,1,14.89,11.88
87,1986,2,15.78,12.62
88,1986,3,15.91,12.72
89,1986,4,15.06,12.04
90,1986,5,13.38,10.7
91,1986,6,11.98,8.99
92,1986,7,10.15,6.62
93,1986,8,7.98,5.01
94,1986,9,7.41,4.72
95,1986,10,9.48,6.83
96,1986,11,11.45,8.87
97,1986,12,13.22,10.53
98,1987,1,14.97,11.9
99,1987,2,16.05,13.02
100,1987,3,15.82,12.83
101,1987,4,15.21,12.35
102,1987,5,13.74,10.97
103,1987,6,12.49,9.39
104,1987,7,10.33,6.55
105,1987,8,7.63,-9999
106,1987,9,7.28,5.64
107,1987,10,9.05,7.49
108,1987,11,11.22,9.73
111,1988,2,15.58,13.57
112,1988,3,15.96,13.9
113,1988,4,15.12,13.18
114,1988,5,13.56,11.41
115,1988,6,11.94,9.68
116,1988,7,9.81,7.01
117,1988,8,7.89,5.42
118,1988,9,7.37,5.36
119,1988,10,9.13,7.52
120,1988,11,11.33,9.91
121,1988,12,13.63,11.99
122,1989,1,14.95,13.18
123,1989,2,15.5,13.36
124,1989,3,15.42,13.21
125,1989,4,14.33,12.36
126,1989,5,13.04,11.35
127,1989,6,12.24,9.95
128,1989,7,10.13,7.33
129,1989,8,7.88,5.56
130,1989,9,7.01,4.86
131,1989,10,8.83,6.96
132,1989,11,11.12,9.46
133,1989,12,13.39,11.61
134,1990,1,14.78,12.8
135,1990,2,15.58,13.42
136,1990,3,15.87,13.51
137,1990,4,14.65,12.28
138,1990,5,13.23,10.9
139,1990,6,11.64,9.2
140,1990,7,9.25,6.52
141,1990,8,6.8,4.99
142,1990,9,6.14,4.55
143,1990,10,8.48,6.74
144,1990,11,11.08,9.64
145,1990,12,13.11,11.47
146,1991,1,14.36,12.57
147,1991,2,15.25,13.22
148,1991,3,15.42,13.42
149,1991,4,14.86,12.87
150,1991,5,13.47,11.5
151,1991,6,12.11,9.66
152,1991,7,9.51,6.76
153,1991,8,7.42,5.21
154,1991,9,6.47,4.51
155,1991,10,8.54,6.75
156,1991,11,10.88,9.25
157,1991,12,12.95,11.19
158,1992,1,14.64,12.61
159,1992,2,15.46,13.58
160,1992,3,15.48,13.48
161,1992,4,14.68,12.84
162,1992,5,13.22,11.43
163,1992,6,12.15,9.95
164,1992,7,10.32,7.22
165,1992,8,7.93,5.44
166,1992,9,7.47,5.43
167,1992,10,9.32,7.74
168,1992,11,11.38,9.75
169,1992,12,13.41,11.72
170,1993,1,14.9,12.93
171,1993,2,15.69,13.61
172,1993,3,15.81,13.77
173,1993,4,15.08,13.03
174,1993,5,13.37,11.42
175,1993,6,11.87,9.26
176,1993,7,9.48,6.28
177,1993,8,7.33,4.76
178,1993,9,6.4,4.58
179,1993,10,8.79,7.06
180,1993,11,11.32,9.54
181,1993,12,13.32,11.48
182,1994,1,14.73,12.88
183,1994,2,15.56,13.52
184,1994,3,15.55,13.55
185,1994,4,14.89,12.91
186,1994,5,13.62,11.66
187,1994,6,12.02,9.68
188,1994,7,9.93,6.92
189,1994,8,7.64,5.19
190,1994,9,7.14,5.13
191,1994,10,8.92,7.23
192,1994,11,11.12,9.71
193,1994,12,13.27,11.49
194,1995,1,14.59,12.79
195,1995,2,15.23,13.37
196,1995,3,15.26,13.34
197,1995,4,14.45,12.4
198,1995,5,12.97,10.9
199,1995,6,11.44,8.94
200,1995,7,8.99,6.16
201,1995,8,6.74,4.69
202,1995,9,6.08,4.43
203,1995,10,7.83,5.99
204,1995,11,10.76,9.03
205,1995,12,12.92,11.09
206,1996,1,14.18,12.15
207,1996,2,15.15,12.98
208,1996,3,15.12,12.9
209,1996,4,14.22,12.32
210,1996,5,13.09,11.28
211,1996,6,12.08,9.83
212,1996,7,10.16,7.44
213,1996,8,8.18,5.73
214,1996,9,7.58,5.62
215,1996,10,9.16,7.54
216,1996,11,10.4,8.77
217,1996,12,12.86,11.03
218,1997,1,14.42,12.39
219,1997,2,15.44,13.44
220,1997,3,15.47,13.3
221,1997,4,14.56,12.57
222,1997,5,13.18,11.24
223,1997,6,11.74,9.2
224,1997,7,9.41,6.5
225,1997,8,7.29,5.09
226,1997,9,6.69,4.89
227,1997,10,8.34,6.47
228,1997,11,10.68,9.07
229,1997,12,13.08,11.24
230,1998,1,14.72,12.81
231,1998,2,15.75,13.77
232,1998,3,15.6,13.57
233,1998,4,14.89,12.85
234,1998,5,13.59,11.4
235,1998,6,11.71,9.18
236,1998,7,9.42,6.45
237,1998,8,7.51,4.69
238,1998,9,6.54,4.3
239,1998,10,8.45,6.71
240,1998,11,10.44,8.88
241,1998,12,12.76,10.91
242,1999,1,14.36,12.6
243,1999,2,15.31,13.45
244,1999,3,15.4,13.54
245,1999,4,15.08,13.15
